"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"11","Earth, Wind & Fire","Boogie Wonderland",19.46,16.46,43.88,13.73,18.85,56.46,33.27,5.88,4.54,22.48,44.87,5.21,0.94,3.54,3.62,"6ztstiyZL6FXzh4aG46ZPD",NA,NA,NA,NA,26,"gems-9"
"12","Sister Sledge","Frankie",22,12.56,46.12,39.69,37.88,49.06,21.12,7.19,11.69,31.65,35.09,9.44,0.89,1.44,2.75,"6th7K3C0mmxk5AlT4x4oro",NA,NA,NA,NA,16,"gems-9"
"13","Itamar Assump��o","Beijo na Boca",17.42,5.25,11.92,8.5,24.83,39.33,16.08,3.33,1.75,13.58,27.71,2.54,0.8,1.17,2.25,"034M638G8hvIQ5WfSxJ9gS",NA,NA,NA,NA,14,"gems-9"
"14","Santa Esmeralda","Don't Let Me Be Misunderstood",20.94,10.17,7.61,6.61,16.61,45.94,31.94,11.17,1.94,12.39,38.94,6.56,0.88,1.11,2.89,"6rhVKeUhQTGLIRmQOfc9Wo",NA,NA,NA,NA,19,"gems-9"
"15","The Pointer Sisters","He's So Shy",16.14,14.71,32,34.43,21.21,28.64,24.21,6.21,8.57,23.7,26.43,7.39,0.74,1.29,2.93,"6R9NqD0WX9sJYs6PbA5onu",NA,NA,NA,NA,16,"gems-9"
"16","James Brown","Funky Drummer",14.48,15,26.04,8.35,15.39,45.39,37.57,19.96,3,15.85,41.48,11.48,0.89,1.52,3.04,"0VbpqlboEkGQ7Pu6juJljZ",NA,NA,NA,NA,23,"gems-9"
"17","The Chakachas","Jungle Fever",14.95,12.7,6.15,12.55,11,22.8,11.7,27.85,2.95,11.47,17.25,15.4,0.73,1.05,1.9,"2QEhVc7hg5Z5yI8UPOSRk8",NA,NA,NA,NA,19,"gems-9"
"18","Jennifer Hudson","Moan",25,22.55,32.45,52.09,54,21.09,33,5.55,26.36,37.22,27.05,15.95,0.82,1.55,3,"5jpo5CggeyVEQSHoXVhBqh",NA,NA,NA,NA,11,"gems-9"
"19","Michael Jackson","Love Never Felt So Good",20.08,18.38,21.77,30.54,5.92,55.23,37.46,6.54,3.69,19.34,46.35,5.12,0.89,2.85,3.62,"48td6xvpokdYwvbl3JIiXP",NA,NA,NA,NA,13,"gems-9"
"20","MFSB","T.S.O.P. (The Sound Of Philadelphia)",20.36,18.07,29.14,11.43,10.29,46.64,36.93,10.07,3,17.86,41.79,6.54,0.9,1.5,3,"7kllQQPam6HumbUCIPSvHJ",NA,NA,NA,NA,14,"gems-9"
"21","Kool & The Gang","Celebration",22.72,12.72,48.92,8.08,18,69,41.48,2.4,0.08,22.09,55.24,1.24,0.96,4.48,3.72,"3K7Q9PHUWPTaknlbFPThn2",NA,NA,NA,NA,25,"gems-9"
